x,y,token
-30.105564,-12.650311,_one_
7.0713325,2.6774635,those
-24.072134,12.537723,fanciful
-34.439922,-28.885513,troublesome
-32.611256,-17.275215,creature
-3.151397,31.64565,playfully
10.618048,58.604095,head
-33.205288,-29.697767,certainly
-30.043192,-36.94572,believe
-40.023148,31.397045,","""
-32.18878,-24.721848,sometimes
-2.288179,-44.1627,dearest
-29.263824,-35.78628,mean
-31.385489,-34.9861,_you_
-23.907099,15.467587,horrible
-35.24975,-25.193943,idea
-17.068481,-42.410835,Oh
-44.539032,-32.84581,meant
-27.97323,-25.902767,myself
-26.761774,-23.503891,loves
-33.125126,-28.698486,joke
-18.109451,25.11382,another
-31.40204,21.256792,fact
-42.08318,-20.485832,faults
-44.891422,-34.14555,told
-54.62085,-20.36467,agreeable
-45.26239,-34.142124,knew
-37.40845,-32.252007,suspect
-26.158415,-32.528843,knows
-35.82063,-31.2724,flatter
-56.926216,-10.993519,reflection
-29.300636,30.936699,has
-34.39108,-13.713718,persons
-39.67819,-9.598224,chances
-41.37653,-25.16885,willing
27.80747,-44.736473,let
44.892353,-15.372166,pass
-40.32509,30.702045,"--"""
-8.765562,-43.841545,hear
-55.293865,-22.091038,behaved
-20.7809,-25.070341,charmingly
1.1794585,-22.240889,Every
-20.259274,-9.0329075,punctual
-25.755783,15.953043,looks
27.139204,0.5829827,tear
-7.0463715,49.09937,face
-23.728683,-9.820045,seen
45.788967,-13.089599,apart
-25.083221,-42.302055,Dear
2.3962421,23.077602,bears
-31.536386,-38.901886,sorry
-8.2191,-35.763245,lose
-25.542925,-39.795105,miss
-26.284039,-32.55057,thinks
-22.627155,37.725964,turned
43.410336,-8.183147,divided
18.971571,-6.8850055,tears
7.1092944,-8.758418,smiles
-33.807373,-42.44908,should
-38.47178,-15.389382,acceptable
-44.87328,-16.244188,important
-48.47318,-21.246351,secure
-35.755863,-3.3030236,provision
21.347788,-25.896048,therefore
-42.900036,-29.137571,allow
-57.508984,-18.935837,pain
-48.775517,6.815992,happily
-26.485132,-16.560465,forgotten
-18.619764,-34.24337,matter
-41.266956,3.0525482,considerable
56.20255,15.896506,four
-48.65618,-25.789057,proved
-39.583515,-31.062151,marry
-25.847618,44.429802,shook
-33.592346,11.982185,fondly
-41.296017,28.599495,replied
-27.01804,-25.314346,matches
-29.1774,-8.917021,foretell
-22.805635,-0.27189937,whatever
-24.42879,-41.76934,Pray
-7.2380724,-39.517418,none
-44.4117,-17.4294,greatest
-49.22619,-8.377871,amusement
-52.87049,-12.042753,success
-23.6665,-12.181478,widower
-34.325275,-27.773771,perfectly
-41.05142,-8.656791,constantly
-38.171646,-0.66260856,occupied
-32.30807,-16.549274,either
-35.258442,-18.861202,friends
-15.442082,-19.34095,wherever
-33.20134,-33.139996,need
-54.435314,1.5664983,spend
-6.420055,-13.977986,single
69.28485,-10.879106,year
-1.4427593,-31.616795,alone
13.83694,0.17224255,Some
-34.321167,1.0057319,others
58.731804,-25.854979,son
-52.739162,15.778946,uncle
-26.300047,37.865097,letting
15.421965,19.250774,solemn
-18.738152,-34.501564,nonsense
-57.75772,-11.734339,subject
-47.381878,-33.765472,believed
15.1521,2.5360732,Ever
-47.504997,7.76862,since
-50.917934,4.403885,met
20.236517,31.746246,Broadway
-11.918295,38.120148,Lane
-41.75151,27.745176,began
0.12788902,53.84062,darted
-51.192978,-11.054323,gallantry
-4.6269193,0.16680908,borrowed
-39.77148,38.877674,Farmer
-20.22468,-8.635401,planned
28.125633,-26.2984,blessed
-21.66359,0.111893855,instance
-40.911777,-31.39372,leave
-15.641168,-13.048136,making
-30.075645,-36.96732,understand
-10.983953,-33.653454,",'"""
-8.023051,13.463744,supposes
-49.082844,-20.579098,endeavour
-2.1203108,-45.14202,Your
-49.06312,-23.544039,properly
-8.734534,-8.976643,delicately
-50.295097,-19.330961,endeavouring
25.198685,-38.03775,bring
14.816955,-34.131447,worthy
-48.302944,-4.957394,employment
41.403904,3.0823803,young
-49.542652,26.72824,lady
-37.28516,-32.56019,imagine
-28.960075,-8.610411,planning
49.05803,-27.676075,saying
-31.584347,-35.562935,yourself
-29.523445,-32.69614,idle
-39.22634,34.22395,",'"
-19.252234,-36.003967,why
